ID,Category,Question,AnswerExcerpt,Latency(s),HasChart,ChartURL,HasTable,Steps
TC_001,Basic_Retrieval,Công ty Cổ phần Sữa Việt Nam có mã chứng khoán là gì?,"Sorry, I encountered an error connecting to the server stream....",4.118,False,,False,1 -> Multi-Agent Thought process
TC_002,Basic_Retrieval,Ngành nghề kinh doanh chính của Vinamilk là gì?,"Sorry, I encountered an error connecting to the server stream....",1.032,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_003,Basic_Retrieval,Tầm nhìn của công ty FPT đến năm 2030 là gì?,"Sorry, I encountered an error connecting to the server stream....",1.006,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_004,Basic_Retrieval,Ai là Chủ tịch Hội đồng Quản trị của VNM trong năm 2023?,"Sorry, I encountered an error connecting to the server stream....",0.996,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_005,Basic_Retrieval,Vốn điều lệ của công ty tính đến cuối năm 2023 là bao nhiêu?,"Sorry, I encountered an error connecting to the server stream....",0.538,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_006,Table_Extraction,Doanh thu thuần hợp nhất năm 2023 của Vinamilk là bao nhiêu?,"Sorry, I encountered an error connecting to the server stream....",0.583,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_007,Table_Extraction,Lợi nhuận gộp từ bán hàng và cung cấp dịch vụ năm 2023 là bao nhiêu?,"Sorry, I encountered an error connecting to the server stream....",1.002,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_008,Table_Extraction,Chi phí bán hàng của công ty trong quý 4 năm 2023 là bao nhiêu?,"Sorry, I encountered an error connecting to the server stream....",1.059,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_009,Table_Extraction,Tiền và các khoản tương đương tiền cuối kỳ của năm 2023 là bao nhiêu?,"Sorry, I encountered an error connecting to the server stream....",1.076,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_010,Table_Extraction,Tổng tài sản ngắn hạn tính đến 31/12/2023 là bao nhiêu?,"Sorry, I encountered an error connecting to the server stream....",1.038,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
